CaseTypeID,Name,Descr,RequestTypeID,IsEnabled,CalendarTypeID,ReportGroupingID,RegulatoryProcedureTypeID,DefaultPriorityCasePriorityTypeID,DefaultCaseRiskRatingRequired,DefaultCaseRiskRatingReferenceID,RegulatedItemInstantiationTypeID,RegulatoryInstrumentNumberPrefix,CaseTypeGroupVersionNumber,CaseTypeVersionNumber,CaseTypeVersionStatusID,DataSetID,CaseTypeModifiedBy,CaseTypeModifiedDate,ConcurrencyRowVersion,ManagementCommitteeReportTableTypeID,SpcTypeID,InterfaceBehaviourID,ReportGroupingLevelTwoID,ReportGroupingLevelThreeID
292,New - Case Type,New - Case Type,6,1,1,5,4,NULL,1,NULL,1,VPA,22,1,3,1,20,00:00.0,0x00000000003920B3,7,NULL,NULL,NULL,NULL
293,New -Test Case,New -Test Case,6,1,2,5,4,3,1,5,1,VPA,23,1,3,1,20,00:00.0,0x00000000003920B4,7,NULL,NULL,NULL,NULL
294,Existing - Variation,Existing - Variation,13,1,1,11,4,NULL,1,NULL,2,VPA,24,1,3,1,20,00:00.0,0x00000000003920B5,7,NULL,NULL,NULL,NULL
295,Test Case Type,Test Case Type,6,1,1,5,1,NULL,1,NULL,1,VPA,25,1,3,1,21,00:00.0,0x00000000003920B6,7,NULL,NULL,NULL,NULL
296,New National Clone,New National Clone,6,1,2,5,3,3,1,NULL,1,VPA,26,1,3,1,20,00:00.0,0x00000000003920B7,7,NULL,NULL,NULL,NULL
297,New National - SIT case,New National - SIT case,6,1,2,5,4,3,1,NULL,1,VPA,26,2,3,1,96,00:00.0,0x00000000003920B8,7,NULL,NULL,NULL,NULL
298,Non Default Milestones,Non Default Milestones,13,1,1,11,4,NULL,1,NULL,2,VPA,27,1,3,1,20,00:00.0,0x00000000003920B9,7,NULL,NULL,NULL,NULL
299,New - National,New - National,6,1,2,5,4,3,1,NULL,1,VPA,7,2,3,1,20,00:00.0,0x00000000003920BA,7,NULL,NULL,NULL,NULL
300,Existing - Variation,Existing - Variation,13,1,1,11,4,NULL,1,NULL,2,VPA,24,2,3,1,20,00:00.0,0x00000000003920BB,7,NULL,NULL,NULL,NULL
301,New - MR as RMS - SIT Case,New - MR as RMS - SIT Case,6,1,2,5,3,3,1,NULL,2,VPA,28,1,3,1,96,00:00.0,0x00000000003920BC,7,NULL,NULL,NULL,NULL
302,MR Variation Type IB as CMS - SIT,MR Variation Type IB as CMS - SIT,13,1,2,11,3,3,1,5,2,VPA,29,1,3,1,96,00:00.0,0x00000000003920BD,7,NULL,NULL,NULL,NULL
303,MR Variation Type II as RMS (60 day),MR Variation Type II as RMS (60 day),13,1,2,11,3,3,1,5,2,VPA,2,2,3,1,21,00:00.0,0x00000000003920BE,7,NULL,NULL,NULL,NULL
304,New - National - SIT,New - National - SIT,6,1,2,5,4,3,1,NULL,1,VPA,26,3,3,1,96,00:00.0,0x00000000003920BF,7,NULL,NULL,NULL,NULL
305,EOLAS walkthrough case - Variation,EOLAS walkthrough case - Variation,13,1,2,11,4,3,1,7,2,VPA,30,1,3,1,145,00:00.0,0x00000000003920C0,7,NULL,NULL,NULL,NULL
306,New - MR as RMS,New - MR as RMS,6,1,2,5,3,3,1,NULL,2,VPA,28,2,3,1,96,00:00.0,0x00000000003920C1,7,NULL,NULL,NULL,NULL
307,PSUR - MR as RMS,PSUR - MR as RMS,10,1,2,9,3,3,1,5,2,VPA,9,2,3,1,96,00:00.0,0x00000000003920C2,7,NULL,NULL,NULL,NULL
308,New - Homeopathic SIT,New - Homeopathic SIT,6,1,2,5,4,3,1,5,1,HoVR,31,1,3,1,96,00:00.0,0x00000000003920C3,7,NULL,NULL,NULL,NULL
309,New - Centralised as Rapp,New - Centralised as Rapp,6,1,2,5,1,3,1,5,1,,32,1,3,1,21,00:00.0,0x00000000003920C4,7,NULL,NULL,NULL,NULL
310,Transfer before Authorisation - SIT,Transfer before Authorisation - SIT,12,1,2,13,3,3,1,5,2,VPA,33,1,3,1,96,00:00.0,0x00000000003920C5,7,NULL,NULL,NULL,NULL
311,Transfer,Transfer,12,1,2,13,3,3,1,5,2,VPA,34,1,3,1,21,00:00.0,0x00000000003920C6,7,NULL,NULL,NULL,NULL
313,MR Renewal as RMS,MR Renewal as RMS,8,1,2,10,3,3,1,5,2,VPA,35,1,3,1,21,00:00.0,0x00000000003920C7,7,NULL,NULL,NULL,NULL
318,Scientific Advice - SIT,Scientific Advice - SIT,1,1,2,4,3,3,1,5,1,,36,1,3,1,96,00:00.0,0x00000000003920C8,7,NULL,NULL,NULL,NULL
319,MR Incoming Variation IB Foreseen,MR Incoming Variation IB Foreseen,13,1,2,11,4,3,1,NULL,2,VPA,8,2,3,1,96,00:00.0,0x00000000003920C9,7,NULL,NULL,NULL,NULL
320,Withdrawal,Withdrawal,14,1,2,12,3,3,1,5,2,VPA,37,1,3,1,96,00:00.0,0x00000000003920CA,7,NULL,NULL,NULL,NULL
322,test,test,7,1,1,4,1,NULL,1,NULL,1,,38,1,3,1,42,00:00.0,0x00000000003920CB,7,NULL,NULL,NULL,NULL
323,Testing Milestone IDs,Testing Milestone IDs,6,1,2,5,4,NULL,1,NULL,1,VPA,39,1,3,1,21,00:00.0,0x00000000003920CC,7,NULL,NULL,NULL,NULL
324,Testing Milestone IDs,Testing Milestone IDs,6,1,2,5,4,NULL,1,NULL,1,VPA,39,2,3,-999,42,00:00.0,0x00000000003920CD,7,NULL,NULL,NULL,NULL
325,Existing - Variation,Existing - Variation,13,1,1,11,4,NULL,1,NULL,2,VPA,24,3,3,1,20,00:00.0,0x00000000003920CE,7,NULL,NULL,NULL,NULL
326,New - Decentralised as RMS,New - Decentralised as RMS,6,1,2,5,2,3,1,5,1,VPA,40,1,3,1,96,00:00.0,0x00000000003920CF,7,NULL,NULL,NULL,NULL
327,Scientific Advice - SIT,Scientific Advice - SIT,1,1,2,4,3,3,1,5,1,,36,2,3,1,96,00:00.0,0x00000000003920D0,7,NULL,NULL,NULL,NULL
328,New - National Second Clone,New - National Second Clone,6,1,2,5,3,3,1,NULL,1,VPA,41,1,3,1,42,00:00.0,0x00000000003920D1,7,NULL,NULL,NULL,NULL
329,Test PDF,Test PDF,13,1,1,11,4,NULL,1,NULL,2,VPA,42,1,3,1,49,00:00.0,0x00000000003920D2,7,NULL,NULL,NULL,NULL
330,Marketing Status Notification SIT,Marketing Status Notification SIT,7,1,2,4,4,3,1,5,2,VPA,43,1,3,1,96,00:00.0,0x00000000003920D3,7,NULL,NULL,NULL,NULL
331,PSUR - as P-CMS,PSUR - as P-CMS,10,1,2,9,3,3,1,5,2,VPA,44,1,3,1,96,00:00.0,0x00000000003920D4,7,NULL,NULL,NULL,NULL
332,Batch Specific Request,Batch Specific Request,13,1,2,4,3,1,1,5,2,VPA,45,1,3,1,96,00:00.0,0x00000000003920D5,7,NULL,NULL,NULL,NULL
333,MR Variation Type IA as CMS,MR Variation Type IA as CMS,13,1,2,11,3,3,1,5,2,VPA,46,1,3,1,96,00:00.0,0x00000000003920D6,7,NULL,NULL,NULL,NULL
334,PSUR - National,PSUR - National,10,1,2,9,4,3,1,5,2,VPA,47,1,3,1,96,00:00.0,0x00000000003920D7,7,NULL,NULL,NULL,NULL
335,MR Variation Type IA as RMS,MR Variation Type IA as RMS,13,1,2,11,3,3,1,5,2,VPA,48,1,3,1,96,00:00.0,0x00000000003920D8,7,NULL,NULL,NULL,NULL
336,Cent Variation Type IB as Rapp,Cent Variation Type IB as Rapp,13,1,2,11,1,3,1,5,2,,49,1,3,1,96,00:00.0,0x00000000003920D9,7,NULL,NULL,NULL,NULL
337,Cent Variation Worksharing as Rapp,Cent Variation Worksharing as Rapp,13,1,2,11,1,3,1,5,2,,50,1,3,1,96,00:00.0,0x00000000003920DA,7,NULL,NULL,NULL,NULL
338,Test Case Permissions,Test Case Permissions,6,1,2,5,4,1,1,7,1,VPA,51,1,3,1,146,00:00.0,0x00000000003920DB,7,NULL,NULL,NULL,NULL
339,Test Case Permissions,Test Case Permissions,6,1,2,5,4,1,1,7,1,VPA,51,2,3,1,146,00:00.0,0x00000000003920DC,7,NULL,NULL,NULL,NULL
340,Test Case Permissions,Test Case Permissions,6,1,2,5,4,1,1,7,1,VPA,51,3,3,1,146,00:00.0,0x00000000003920DD,7,NULL,NULL,NULL,NULL
341,MR Variation Type IB as RMS,MR Variation Type IB as RMS,13,1,2,11,3,3,1,5,2,VPA,52,1,3,1,96,00:00.0,0x00000000003920DE,7,NULL,NULL,NULL,NULL
342,National Variation Type IA SIT,National Variation Type IA SIT,13,1,2,11,4,3,1,5,2,VPA,53,1,3,1,96,00:00.0,0x00000000003920DF,7,NULL,NULL,NULL,NULL
343,National Variation Type II 60 day SIT,National Variation Type II 60 day SIT,13,1,2,11,4,3,1,5,2,VPA,54,1,3,1,96,00:00.0,0x00000000003920E0,7,NULL,NULL,NULL,NULL
344,Test New - Decentralised as RMS,Test New - Decentralised as RMS,6,1,2,5,2,3,1,5,1,VPA,55,1,3,1,20,00:00.0,0x00000000003920E1,7,NULL,NULL,NULL,NULL
345,13.12.16 Exisiting - Variation,13.12.16 Exisiting - Variation,13,1,1,11,4,NULL,1,NULL,2,VPA,56,1,3,1,20,00:00.0,0x00000000003920E2,7,NULL,NULL,NULL,NULL
346,13.12.16 Exisiting - Variation,13.12.16 Exisiting - Variation,13,1,1,11,4,NULL,1,NULL,2,VPA,56,2,3,1,20,00:00.0,0x00000000003920E3,7,NULL,NULL,NULL,NULL
347,13.12.16 Exisiting - Variation [Clone],13.12.16 Exisiting - Variation [Clone],13,1,1,11,4,NULL,1,NULL,2,VPA,57,1,3,1,20,00:00.0,0x00000000003920E4,7,NULL,NULL,NULL,NULL
348,13.12.16 New - Case Type,13.12.16 New - Case Type,6,1,1,5,4,NULL,1,NULL,1,VPA,58,1,3,1,20,00:00.0,0x00000000003920E5,7,NULL,NULL,NULL,NULL
349,MR Variation Type IA as CMS,MR Variation Type IA as CMS,13,1,2,11,3,3,1,5,2,VPA,46,2,3,1,134,00:00.0,0x00000000003920E6,7,NULL,NULL,NULL,NULL
350,Urick Case Type,Urick Case Type,6,1,1,5,4,NULL,1,NULL,1,VPA,59,1,3,1,146,00:00.0,0x00000000003920E7,7,NULL,NULL,NULL,NULL
351,Simple case,Simple case,6,1,1,5,4,NULL,1,NULL,1,VPA,60,1,3,1,103,00:00.0,0x00000000003920E8,7,NULL,NULL,NULL,NULL
352,New - MR as RMS,New - MR as RMS,6,1,2,5,3,3,1,NULL,2,VPA,28,3,3,1,146,00:00.0,0x00000000003920E9,7,NULL,NULL,NULL,NULL
353,MR Variation Type IA as CMS,MR Variation Type IA as CMS,13,1,2,11,3,3,1,5,2,VPA,46,3,3,1,146,00:00.0,0x00000000003920EA,7,NULL,NULL,NULL,NULL
354,MR Variation Type IA as CMS,MR Variation Type IA as CMS,13,1,2,11,3,3,1,5,2,VPA,46,4,3,1,20,00:00.0,0x00000000003920EB,7,NULL,NULL,NULL,NULL
355,Variation Case Test,Variation Case Test,13,1,1,11,4,NULL,1,NULL,2,VPA,61,1,3,1,146,00:00.0,0x00000000003920EC,7,NULL,NULL,NULL,NULL
356,New - National - SIT,New - National - SIT,6,1,2,5,4,3,1,NULL,1,VPA,26,4,3,1,96,00:00.0,0x00000000003920ED,7,NULL,NULL,NULL,NULL
357,Existing -Variation2,Existing -Variation2,13,1,1,11,4,NULL,1,NULL,2,VPA,62,1,3,1,20,00:00.0,0x00000000003920EE,7,NULL,NULL,NULL,NULL
358,Variation Case Test 2,Variation Case Test 2,13,1,1,11,4,NULL,1,NULL,2,VPA,63,1,3,1,146,00:00.0,0x00000000003920EF,7,NULL,NULL,NULL,NULL
359,Existing -Variation2,Existing -Variation2,13,1,1,11,4,NULL,1,NULL,2,VPA,62,2,3,1,20,00:00.0,0x00000000003920F0,7,NULL,NULL,NULL,NULL
360,Test ddd,Test ddd,4,1,2,2,2,NULL,1,NULL,2,,64,1,3,1,42,00:00.0,0x00000000003920F1,7,NULL,NULL,NULL,NULL
361,MR Variation Type IA as CMS,MR Variation Type IA as CMS,13,1,2,11,3,3,1,5,2,VPA,46,5,3,1,146,00:00.0,0x00000000003920F2,7,NULL,NULL,NULL,NULL
362,New - National - SIT,New - National - SIT,6,1,2,5,4,3,1,NULL,1,VPA,26,5,3,1,146,00:00.0,0x00000000003920F3,7,NULL,NULL,NULL,NULL
363,test xxxx,test xxxx,6,1,2,5,4,NULL,1,NULL,1,,65,1,1,1,96,00:00.0,0x00000000003920F4,7,NULL,NULL,NULL,NULL
364,National Variation Type IB,National Variation Type IB,13,1,2,11,4,3,1,5,2,VPA,66,1,3,1,96,00:00.0,0x00000000003920F5,7,NULL,NULL,NULL,NULL
365,National Variation Type II (90Day),National Variation Type II (90Day),13,1,2,11,4,3,1,5,2,VPA,67,1,3,1,96,00:00.0,0x00000000003920F6,7,NULL,NULL,NULL,NULL
366,National Variation Type II (30 Day),National Variation Type II (30 Day),13,1,2,11,4,3,1,5,2,VPA,68,1,3,1,96,00:00.0,0x00000000003920F7,7,NULL,NULL,NULL,NULL
367,Signal Detection,Signal Detection,7,1,2,4,3,3,1,5,2,,69,1,3,1,96,00:00.0,0x00000000003920F8,7,NULL,NULL,NULL,NULL
368,Clinical Trial,Clinical Trial,6,1,2,5,4,3,1,5,1,VPA,70,1,3,1,42,00:00.0,0x00000000003920F9,7,NULL,NULL,NULL,NULL
369,Clinical Trial Variation,Clinical Trial Variation,13,1,2,11,4,3,1,5,2,VPA,71,1,3,1,42,00:00.0,0x00000000003920FA,7,NULL,NULL,NULL,NULL
370,New - MR as RMS,New - MR as RMS,6,1,2,5,3,3,1,NULL,2,VPA,28,4,3,1,146,00:00.0,0x00000000003920FB,7,NULL,NULL,NULL,NULL
371,Follow-up measure,Follow-up measure,10,1,2,4,4,3,1,5,2,VPA,72,1,3,1,42,00:00.0,0x00000000003920FC,7,NULL,NULL,NULL,NULL
372,MRL - New,MRL - New,6,1,2,5,3,3,1,5,2,VPA,73,1,3,1,42,00:00.0,0x0000000003F4D94C,7,NULL,NULL,NULL,NULL
373,Suspected adverse event,Suspected adverse event,10,1,2,4,4,3,1,5,2,VPA,74,1,3,1,42,00:00.0,0x00000000003920FE,7,NULL,NULL,NULL,NULL
374,Centralised Referral,Centralised Referral,6,1,2,4,1,3,1,NULL,1,,75,1,3,1,42,00:00.0,0x00000000003920FF,7,NULL,NULL,NULL,NULL
375,MRL - Extension,MRL - Extension,6,1,2,5,3,3,1,5,2,VPA,76,1,3,1,42,00:00.0,0x0000000000392101,7,NULL,NULL,NULL,NULL
376,MRL - Modification,MRL - Modification,6,1,2,5,3,3,1,5,2,VPA,77,1,3,1,42,00:00.0,0x0000000000392102,7,NULL,NULL,NULL,NULL
377,MR Variation Worksharing as CMS (30 day),MR Variation Worksharing as CMS (30 day),13,1,2,11,3,3,1,5,2,VPA,78,1,3,1,80,00:00.0,0x0000000000392103,7,NULL,NULL,NULL,NULL
378,New Product Test Case Type,New Product Test Case Type,6,1,2,5,4,2,1,5,1,VPA,79,1,3,1,146,00:00.0,0x0000000000392104,7,NULL,NULL,NULL,NULL
379,MR Variation Worksharing as CMS (60 day),MR Variation Worksharing as CMS (60 day),13,1,2,11,3,3,1,5,2,VPA,80,1,3,1,80,00:00.0,0x0000000000392105,7,NULL,NULL,NULL,NULL
380,MR Variation Worksharing as CMS (90 day),MR Variation Worksharing as CMS (90 day),13,1,2,11,3,3,1,5,2,VPA,81,1,3,1,80,00:00.0,0x0000000000392106,7,NULL,NULL,NULL,NULL
381,MR Variation Type II as RMS (90 day),MR Variation Type II as RMS (90 day),13,1,2,11,3,3,1,5,2,VPA,82,1,3,1,96,00:00.0,0x0000000000392107,7,NULL,NULL,NULL,NULL
382,MR Variation Type II as RMS (30 day),MR Variation Type II as RMS (30 day),13,1,2,11,3,3,1,5,2,VPA,83,1,3,1,96,00:00.0,0x0000000000392108,7,NULL,NULL,NULL,NULL
383,Cent Variation Type IA as Rapp,Cent Variation Type IA as Rapp,13,1,2,11,1,3,1,5,2,,84,1,3,1,96,00:00.0,0x0000000000392109,7,NULL,NULL,NULL,NULL
384,Cent Variation Type II as Rapp (30 day),Cent Variation Type II as Rapp (30 day),13,1,2,11,1,3,1,5,2,,85,1,3,1,96,00:00.0,0x000000000039210A,7,NULL,NULL,NULL,NULL
385,Centralised Variation as MS,Centralised Variation as MS,13,1,2,11,1,3,1,5,2,,86,1,3,1,42,00:00.0,0x000000000039210B,7,NULL,NULL,NULL,NULL
386,Cent Variation Type II as Co-rapp (30 day),Cent Variation Type II as Co-rapp (30 day),13,1,2,11,1,3,1,5,2,,87,1,3,1,96,00:00.0,0x000000000039210C,7,NULL,NULL,NULL,NULL
387,Cent Variation Type II as Co-rapp (60 day),Cent Variation Type II as Co-rapp (60 day),13,1,2,11,1,3,1,5,2,,88,1,3,1,42,00:00.0,0x000000000039210D,7,NULL,NULL,NULL,NULL
388,Cent Variation Type II as Co-rapp (90 day),Cent Variation Type II as Co-rapp (90 day),13,1,2,11,1,3,1,5,2,,89,1,3,1,42,00:00.0,0x000000000039210E,7,NULL,NULL,NULL,NULL
389,Cent Variation Type II as Rapp (90 day),Cent Variation Type II as Rapp (90 day),13,1,2,11,1,3,1,5,2,,90,1,3,1,96,00:00.0,0x000000000039210F,7,NULL,NULL,NULL,NULL
390,Cent Variation Type II as Rapp (60 day),Cent Variation Type II as Rapp (60 day),13,1,2,11,1,3,1,5,2,,91,1,3,1,96,00:00.0,0x0000000000392110,7,NULL,NULL,NULL,NULL
391,New - PPA,New - PPA,6,1,2,5,4,3,1,5,1,PVPA,92,1,3,1,96,00:00.0,0x0000000000392111,7,NULL,NULL,NULL,NULL
392,New - MR as CMS,New - MR as CMS,6,1,2,5,3,3,1,NULL,1,VPA,93,1,3,1,96,00:00.0,0x0000000000392112,7,NULL,NULL,NULL,NULL
393,MR Variation Type II as CMS (30 day),MR Variation Type II as CMS (30 day),13,1,2,11,3,3,1,5,2,VPA,94,1,3,1,42,00:00.0,0x0000000000392113,7,NULL,NULL,NULL,NULL
394,Variation Case Test 2,Variation Case Test 2,13,1,1,11,4,NULL,1,NULL,2,VPA,63,2,3,1,146,00:00.0,0x0000000000392114,7,NULL,NULL,NULL,NULL
395,ASMF,ASMF,-999,1,2,-999,3,NULL,1,NULL,1,DMF,95,1,3,1,96,00:00.0,0x0000000000392115,7,NULL,NULL,NULL,NULL
396,MR Variation Type II as CMS (60 day),MR Variation Type II as CMS (60 day),13,1,2,11,3,3,1,5,2,VPA,96,1,3,1,42,00:00.0,0x0000000000392116,7,NULL,NULL,NULL,NULL
397,Homeopathic Renewal,Homeopathic Renewal,8,1,2,10,4,3,1,5,2,HoVR,97,1,3,1,96,00:00.0,0x0000000000392117,7,NULL,NULL,NULL,NULL
398,Homeopathic Variation,Homeopathic Variation,13,1,2,11,4,3,1,5,2,HoVR,98,1,3,1,96,00:00.0,0x0000000000392118,7,NULL,NULL,NULL,NULL
399,Homeopathic Renewal,Homeopathic Renewal,8,1,2,10,4,3,1,5,2,HoVR,97,2,3,1,96,00:00.0,0x0000000000392119,7,NULL,NULL,NULL,NULL
400,Homeopathic Renewal,Homeopathic Renewal,8,1,2,10,4,3,1,5,2,HoVR,97,3,3,1,96,00:00.0,0x000000000039211A,7,NULL,NULL,NULL,NULL
401,National Variation Worksharing (90 Day),National Variation Worksharing (90 Day),13,1,2,11,4,3,1,5,2,,99,1,3,1,96,00:00.0,0x000000000039211B,7,NULL,NULL,NULL,NULL
402,New - MR as RMS,New - MR as RMS,6,1,2,5,3,3,1,NULL,2,VPA,28,5,3,1,96,00:00.0,0x000000000039211C,7,NULL,NULL,NULL,NULL
403,Withdrawal,Withdrawal,14,1,2,12,3,3,1,5,2,VPA,37,2,3,1,96,00:00.0,0x000000000039211D,7,NULL,NULL,NULL,NULL
404,New - National - SIT,New - National - SIT,6,1,2,5,4,3,1,NULL,1,VPA,26,6,3,1,96,00:00.0,0x000000000039211E,7,NULL,NULL,NULL,NULL
405,MR Variation Type IB as CMS - SIT,MR Variation Type IB as CMS - SIT,13,1,2,11,3,3,1,5,2,VPA,29,2,3,1,96,00:00.0,0x000000000039211F,7,NULL,NULL,NULL,NULL
406,MR Variation Type II as RMS (60 day),MR Variation Type II as RMS (60 day),13,1,2,11,3,3,1,5,2,VPA,2,3,3,1,96,00:00.0,0x0000000000392120,7,NULL,NULL,NULL,NULL
407,Transfer,Transfer,12,1,2,13,3,3,1,5,2,VPA,34,2,3,1,96,00:00.0,0x0000000000392121,7,NULL,NULL,NULL,NULL
408,MR Variation Type II as CMS (90 day),MR Variation Type II as CMS (90 day),13,1,2,11,3,3,1,5,2,VPA,100,1,3,1,42,00:00.0,0x0000000000392122,7,NULL,NULL,NULL,NULL
409,MR Variation Worksharing as RMS (30 day),MR Variation Worksharing as RMS (30 day),13,1,2,11,3,3,1,5,2,VPA,101,1,3,1,42,00:00.0,0x0000000000392123,7,NULL,NULL,NULL,NULL
410,MR Variation Worksharing as RMS (60 day),MR Variation Worksharing as RMS (60 day),13,1,2,11,3,3,1,5,2,VPA,102,1,3,1,42,00:00.0,0x0000000000392124,7,NULL,NULL,NULL,NULL
411,MR Variation Worksharing as RMS (90 day),MR Variation Worksharing as RMS (90 day),13,1,2,11,3,3,1,5,2,VPA,103,1,3,1,42,00:00.0,0x0000000000392125,7,NULL,NULL,NULL,NULL
412,New - Centralised as MS,New - Centralised as MS,6,1,2,5,1,3,1,5,1,,104,1,3,1,42,00:00.0,0x0000000000392126,7,NULL,NULL,NULL,NULL
413,Variation Case Test 2,Variation Case Test 2,13,1,1,11,4,NULL,1,NULL,2,VPA,63,3,3,1,146,00:00.0,0x0000000000392127,7,NULL,NULL,NULL,NULL
414,MR Repeat Use as RMS,MR Repeat Use as RMS,6,1,2,5,3,3,1,5,2,VPA,105,1,3,1,96,00:00.0,0x0000000000392128,7,NULL,NULL,NULL,NULL
415,New - Centralised as Co-rapp,New - Centralised as Co-rapp,6,1,2,5,1,3,1,5,1,,106,1,3,1,42,00:00.0,0x0000000000392129,7,NULL,NULL,NULL,NULL
416,New Decentralised as CMS,New Decentralised as CMS,6,1,2,5,2,1,1,5,1,VPA,107,1,3,1,96,00:00.0,0x000000000039212A,7,NULL,NULL,NULL,NULL
417,PSUR - MR as CMS,PSUR - MR as CMS,10,1,2,9,3,3,1,5,2,VPA,108,1,3,1,42,00:00.0,0x000000000039212B,7,NULL,NULL,NULL,NULL
418,PSUR - Centralised as Rapp,PSUR - Centralised as Rapp,10,1,2,9,1,3,1,5,2,,109,1,3,1,42,00:00.0,0x000000000039212C,7,NULL,NULL,NULL,NULL
419,PSUR as P-RMS,PSUR as P-RMS,10,1,2,9,3,3,1,5,2,VPA,110,1,3,1,42,00:00.0,0x000000000039212D,7,NULL,NULL,NULL,NULL
420,Data Rework,Data Rework,-999,1,2,-999,3,3,1,5,2,,111,1,3,1,96,00:00.0,0x000000000039212E,7,NULL,NULL,NULL,NULL
421,Variation Case Test 2,Variation Case Test 2,13,1,1,11,4,NULL,1,NULL,2,VPA,63,4,3,1,146,00:00.0,0x000000000039212F,7,NULL,NULL,NULL,NULL
