CaseID,InternationalIdentifier,EUProcedureNumber,CaseTypeID,CaseTypeGroupVersionNumber,CaseStatusTypeID,CaseTriggerReasonID,CreatedDate,CaseCategoryID,CaseLegacyID,CaseApprovalStatusTypeID,CaseApprovalDate,ConcurrencyRowVersion,Actual_Date
15,NULL,NULL,2582,111,3,1,14/11/2005,1,7000031,-999,01/01/2001,0x0000000007D3EFDF,#N/A
16,NULL,NULL,2582,111,3,1,14/11/2005,1,7000032,-999,01/01/2001,0x0000000007D3EFE0,#N/A
17,NULL,NULL,2582,111,3,1,15/11/2005,1,7000036,-999,01/01/2001,0x0000000007D3EFE1,#N/A
18,NULL,IE/V/0158/001       ,2582,111,3,1,16/11/2005,1,7000039,-999,01/01/2001,0x0000000007D3EFE2,#N/A
19,NULL,NULL,2582,111,3,1,17/11/2005,1,7000040,-999,01/01/2001,0x0000000007D3EFE3,#N/A
20,NULL,NULL,2582,111,3,1,17/11/2005,1,7000041,-999,01/01/2001,0x0000000007D3EFE4,#N/A
21,NULL,UK/V/0152/001/000   ,2582,111,3,1,17/11/2005,1,7000042,-999,01/01/2001,0x0000000007D3EFE5,#N/A
22,NULL,NULL,2582,111,3,1,17/11/2005,1,7000043,-999,01/01/2001,0x0000000007D3EFE6,#N/A
23,NULL,NULL,2582,111,3,1,17/11/2005,1,7000045,-999,01/01/2001,0x0000000007D3EFE7,#N/A
24,NULL,NL/V/104/001/00/00  ,2582,111,3,1,18/11/2005,1,7000048,-999,01/01/2001,0x0000000007D3EFE8,#N/A
25,NULL,IT/V/0105/001/00/0  ,2582,111,3,1,18/11/2005,1,7000049,-999,01/01/2001,0x0000000007D3EFE9,#N/A
26,NULL,NULL,2582,111,3,1,18/11/2005,1,7000050,-999,01/01/2001,0x0000000007D3EFEA,#N/A
27,NULL,NULL,2582,111,3,1,21/11/2005,1,7000051,-999,01/01/2001,0x0000000007D3EFEB,#N/A
28,NULL,NULL,2582,111,3,1,21/11/2005,1,7000052,-999,01/01/2001,0x0000000007D3EFEC,#N/A
29,NULL,FR/V/0020/01/000/0  ,2582,111,3,1,21/11/2005,1,7000053,-999,01/01/2001,0x0000000007D3EFED,#N/A
30,NULL,NULL,2582,111,3,1,22/11/2005,1,7000055,-999,01/01/2001,0x0000000007D3EFEE,#N/A
31,NULL,NULL,2582,111,3,1,23/11/2005,1,7000057,-999,01/01/2001,0x0000000007D3EFEF,#N/A
32,NULL,NULL,2582,111,3,1,23/11/2005,1,7000060,-999,01/01/2001,0x0000000007D3EFF0,#N/A
33,NULL,NULL,2582,111,3,1,23/11/2005,1,7000062,-999,01/01/2001,0x0000000007D3EFF1,#N/A
34,NULL,NULL,2582,111,3,1,24/11/2005,1,7000063,-999,01/01/2001,0x0000000007D3EFF2,#N/A
35,NULL,NULL,2582,111,3,1,25/11/2005,1,7000065,-999,01/01/2001,0x0000000007D3EFF3,#N/A
36,NULL,UK/V/0207/001       ,2805,93,3,1,25/11/2005,1,7000067,1,02/03/2006,0x0000000007D3EFF4,#N/A
37,NULL,UK/V/0211/001       ,2805,93,3,1,25/11/2005,1,7000068,1,09/02/2006,0x0000000007D3EFF5,#N/A
38,NULL,UK/V/0212/001       ,2805,93,3,1,25/11/2005,1,7000069,1,11/07/2006,0x0000000007D3EFF6,#N/A
39,NULL,FR/V/157/01         ,2805,93,3,1,25/11/2005,1,7000070,1,19/12/2006,0x0000000007D3EFF7,#N/A
40,NULL,FR/V/156/01         ,2805,93,3,1,25/11/2005,1,7000071,1,19/12/2006,0x0000000007D3EFF8,#N/A
41,NULL,UK/V/213/01         ,2805,93,4,1,25/11/2005,1,7000073,-999,01/01/2001,0x0000000007D3EFF9,#N/A
42,NULL,UK/V/0206/001       ,2805,93,3,1,25/11/2005,1,7000074,1,21/12/2006,0x0000000007D3EFFA,#N/A
43,NULL,NULL,2709,26,3,1,25/11/2005,1,7000075,1,02/03/2006,0x0000000007D3EFFB,#N/A
44,NULL,NL/V/115/01         ,2805,93,4,1,25/11/2005,1,7000076,-999,01/01/2001,0x0000000007D3EFFC,#N/A
45,NULL,NULL,2709,26,3,1,25/11/2005,1,7000077,1,19/04/2010,0x0000000007D3EFFD,17/10/2003
46,NULL,DE/V/227/01         ,2805,93,3,1,25/11/2005,1,7000078,1,30/11/2005,0x0000000007D3EFFE,#N/A
47,NULL,DE/V/228/01         ,2805,93,3,1,25/11/2005,1,7000079,1,30/11/2005,0x0000000007D3EFFF,#N/A
48,NULL,DE/V/229/001        ,2805,93,3,1,25/11/2005,1,7000080,1,30/11/2005,0x0000000007D3F001,#N/A
49,NULL,FR/V/0149/001       ,2805,93,3,1,25/11/2005,1,7000081,1,30/11/2005,0x0000000007D3F002,#N/A
50,NULL,NULL,2709,26,3,1,25/11/2005,1,7000082,1,06/07/2007,0x0000000007D3F003,#N/A
51,NULL,UK/V/215/01         ,2805,93,3,1,25/11/2005,1,7000083,1,25/05/2006,0x0000000007D3F004,#N/A
52,NULL,NULL,2709,26,3,1,25/11/2005,1,7000084,1,30/05/2006,0x0000000007D3F005,#N/A
53,NULL,NULL,2709,26,3,1,25/11/2005,1,7000085,1,30/05/2006,0x0000000007D3F006,#N/A
54,NULL,NULL,2709,26,3,1,25/11/2005,1,7000086,1,21/12/2006,0x0000000007D3F007,#N/A
55,NULL,NULL,2709,26,3,1,25/11/2005,1,7000087,1,06/03/2006,0x0000000007D3F008,#N/A
56,NULL,NULL,2709,26,3,1,25/11/2005,1,7000088,1,02/03/2006,0x0000000007D3F009,#N/A
57,NULL,NULL,2709,26,3,1,25/11/2005,1,7000089,1,06/03/2006,0x0000000007D3F00A,#N/A
58,NULL,UK/V/0214/001       ,2805,93,3,1,25/11/2005,1,7000090,1,01/02/2006,0x0000000007D3F00B,#N/A
59,NULL,NULL,2709,26,3,1,25/11/2005,1,7000091,1,03/07/2006,0x0000000007D3F00C,#N/A
60,NULL,NULL,2709,26,4,1,25/11/2005,1,7000092,-999,01/01/2001,0x0000000007D3F00D,#N/A
61,NULL,DE/V/0219/001/E/001 ,2805,93,3,1,25/11/2005,1,7000093,1,01/02/2006,0x0000000007D3F00E,#N/A
62,NULL,DE/V/0225/001/E001  ,2805,93,3,1,25/11/2005,1,7000094,1,09/02/2006,0x0000000007D3F00F,#N/A
63,NULL,DE/V/111/01         ,2805,93,3,1,25/11/2005,1,7000095,1,06/03/2006,0x0000000007D3F010,#N/A
64,NULL,DE/V/112/01         ,2805,93,3,1,25/11/2005,1,7000096,1,24/07/2006,0x0000000007D3F011,#N/A
65,NULL,NL/V/114/01         ,2805,93,3,1,25/11/2005,1,7000097,1,09/02/2006,0x0000000007D3F012,#N/A
66,NULL,FR/V/158/01         ,2805,93,3,1,25/11/2005,1,7000098,1,06/03/2006,0x0000000007D3F013,#N/A
67,NULL,DE/V/0113/001       ,2805,93,3,1,25/11/2005,1,7000099,1,26/07/2006,0x0000000007D3F014,#N/A
68,NULL,NULL,2709,26,3,1,25/11/2005,1,7000100,1,30/11/2005,0x0000000007D3F015,#N/A
69,NULL,V/C/075/X/002       ,2876,32,3,1,25/11/2005,1,7000101,1,28/02/2007,0x0000000007D3F016,#N/A
70,NULL,V/C/082/X/004       ,2876,32,3,1,25/11/2005,1,7000102,1,28/02/2007,0x0000000007D3F017,#N/A
71,NULL,NULL,2709,26,4,1,25/11/2005,1,7000103,-999,01/01/2001,0x0000000007D3F018,#N/A
72,NULL,V/C/102/00/0/0      ,2876,32,3,1,25/11/2005,1,7000104,1,08/06/2006,0x0000000007D3F019,#N/A
73,NULL,UK/V/0216/001       ,2805,93,3,1,25/11/2005,1,7000105,1,27/06/2006,0x0000000007D3F01A,#N/A
74,NULL,NULL,2709,26,3,1,25/11/2005,1,7000106,1,10/05/2007,0x0000000007D3F01B,#N/A
75,NULL,NULL,2709,26,3,1,25/11/2005,1,7000107,1,10/05/2007,0x0000000007D3F01C,#N/A
76,NULL,NULL,2709,26,3,1,25/11/2005,1,7000108,1,10/05/2007,0x0000000007D3F01D,#N/A
77,NULL,NULL,2709,26,4,1,25/11/2005,1,7000109,-999,01/01/2001,0x0000000007D3F01E,#N/A
78,NULL,NULL,2709,26,4,1,25/11/2005,1,7000110,-999,01/01/2001,0x0000000007D3F01F,#N/A
79,NULL,NULL,2709,26,4,1,25/11/2005,1,7000111,-999,01/01/2001,0x0000000007D3F020,#N/A
80,NULL,NULL,2709,26,4,1,25/11/2005,1,7000113,-999,01/01/2001,0x0000000007D3F021,#N/A
81,NULL,NULL,2709,26,3,1,25/11/2005,1,7000114,1,21/12/2006,0x0000000007D3F022,#N/A
82,NULL,NULL,2709,26,3,1,25/11/2005,1,7000115,1,21/12/2006,0x0000000007D3F023,#N/A
83,NULL,NULL,2709,26,3,1,25/11/2005,1,7000116,1,19/12/2006,0x0000000007D3F024,#N/A
84,NULL,NULL,2709,26,4,1,25/11/2005,1,7000117,-999,01/01/2001,0x0000000007D3F025,#N/A
85,NULL,NULL,2709,26,3,1,25/11/2005,1,7000118,1,14/11/2006,0x0000000007D3F026,#N/A
86,NULL,NULL,2709,26,3,1,25/11/2005,1,7000119,1,30/04/2007,0x0000000007D3F027,#N/A
87,NULL,NULL,2709,26,4,1,25/11/2005,1,7000120,-999,01/01/2001,0x0000000007D3F028,#N/A
88,NULL,NULL,2709,26,4,1,25/11/2005,1,7000121,-999,01/01/2001,0x0000000007D3F029,#N/A
89,NULL,NULL,2709,26,3,1,25/11/2005,1,7000122,1,12/12/2007,0x0000000007D3F02A,#N/A
90,NULL,NULL,2709,26,3,1,25/11/2005,1,7000123,1,24/09/2007,0x0000000007D3F02B,#N/A
91,NULL,NULL,2709,26,3,1,25/11/2005,1,7000124,1,14/11/2006,0x0000000007D3F02C,#N/A
92,NULL,NULL,2709,26,3,1,25/11/2005,1,7000125,-999,01/01/2001,0x0000000007D3F02D,#N/A
93,NULL,NULL,2709,26,4,1,25/11/2005,1,7000126,1,19/12/2006,0x0000000007D3F02E,#N/A
94,NULL,NULL,2859,120,3,1,27/11/2005,1,7000127,1,28/07/2006,0x0000000007D3F02F,#N/A
95,NULL,NULL,2859,120,3,1,27/11/2005,1,7000128,1,28/11/2006,0x0000000007D3F030,#N/A
96,NULL,NULL,2859,120,3,1,27/11/2005,1,7000129,1,10/04/2006,0x0000000007D3F031,#N/A
97,NULL,NULL,2859,120,3,1,27/11/2005,1,7000130,1,28/06/2007,0x0000000007D3F032,#N/A
98,NULL,NULL,2859,120,3,1,27/11/2005,1,7000131,1,25/07/2006,0x0000000007D3F033,#N/A
99,NULL,NULL,2859,120,3,1,27/11/2005,1,7000132,1,21/03/2006,0x0000000007D3F034,#N/A
100,NULL,NULL,2859,120,3,1,27/11/2005,1,7000133,1,21/02/2006,0x0000000007D3F035,#N/A
101,NULL,NULL,2859,120,3,1,27/11/2005,1,7000134,1,06/05/2008,0x0000000007D3F036,#N/A
102,NULL,NULL,2859,120,3,1,27/11/2005,1,7000135,1,25/07/2006,0x0000000007D3F037,#N/A
103,NULL,NULL,2859,120,3,1,27/11/2005,1,7000136,1,01/08/2006,0x0000000007D3F038,#N/A
104,NULL,NULL,2859,120,3,1,27/11/2005,1,7000137,1,10/04/2006,0x0000000007D3F039,#N/A
105,NULL,NULL,2859,120,3,1,27/11/2005,1,7000138,1,31/03/2006,0x0000000007D3F03A,#N/A
106,NULL,NULL,2859,120,3,1,27/11/2005,1,7000139,1,31/10/2006,0x0000000007D3F03B,#N/A
107,NULL,NULL,2859,120,4,1,27/11/2005,1,7000140,1,10/10/2006,0x0000000007D3F03C,#N/A
108,NULL,NULL,2859,120,3,1,27/11/2005,1,7000141,1,29/11/2006,0x0000000007D3F03D,#N/A
109,NULL,FR/V/125/01/00      ,2842,115,3,1,27/11/2005,1,7000142,1,15/05/2006,0x0000000007D3F03E,#N/A
110,NULL,NULL,2859,120,3,1,27/11/2005,1,7000143,1,29/11/2006,0x0000000007D3F03F,#N/A
111,NULL,NULL,2859,120,3,1,27/11/2005,1,7000144,1,21/02/2006,0x0000000007D3F040,#N/A
112,NULL,NULL,2859,120,3,1,27/11/2005,1,7000145,1,15/05/2006,0x0000000007D3F041,#N/A
113,NULL,NULL,2859,120,3,1,27/11/2005,1,7000146,1,11/09/2006,0x0000000007D3F042,#N/A
114,NULL,NULL,2859,120,3,1,27/11/2005,1,7000147,1,25/07/2006,0x0000000007D3F043,#N/A
115,NULL,NULL,2859,120,3,1,27/11/2005,1,7000148,1,26/03/2007,0x0000000007D3F044,#N/A
116,NULL,NULL,2859,120,3,1,27/11/2005,1,7000149,1,16/12/2005,0x0000000007D3F045,#N/A
117,NULL,NULL,2859,120,3,1,27/11/2005,1,7000150,1,16/12/2005,0x0000000007D3F046,#N/A
118,NULL,NULL,2859,120,3,1,27/11/2005,1,7000151,1,11/09/2006,0x0000000007D3F047,#N/A
119,NULL,NULL,2859,120,4,1,27/11/2005,1,7000152,-999,01/01/2001,0x0000000007D3F048,#N/A
120,NULL,NULL,2859,120,3,1,27/11/2005,1,7000153,1,25/04/2007,0x0000000007D3F049,#N/A
121,NULL,NULL,2859,120,4,1,27/11/2005,1,7000154,-999,01/01/2001,0x0000000007D3F04A,#N/A
122,NULL,FR/V/015/00/        ,2842,115,3,1,27/11/2005,1,7000155,1,30/06/2006,0x0000000007D3F04B,#N/A
123,NULL,NULL,2859,120,4,1,27/11/2005,1,7000156,-999,01/01/2001,0x0000000007D3F04C,#N/A
124,NULL,NULL,2859,120,3,1,27/11/2005,1,7000157,1,21/08/2006,0x0000000007D3F04D,#N/A
125,NULL,NULL,2859,120,3,1,27/11/2005,1,7000158,1,04/09/2006,0x0000000007D3F04E,#N/A
126,NULL,NULL,2859,120,3,1,27/11/2005,1,7000159,1,30/04/2007,0x0000000007D3F04F,#N/A
127,NULL,NULL,2859,120,3,1,27/11/2005,1,7000160,1,13/03/2006,0x0000000007D3F050,#N/A
128,NULL,NULL,2859,120,3,1,27/11/2005,1,7000161,1,25/04/2007,0x0000000007D3F051,#N/A
129,NULL,NULL,2859,120,3,1,27/11/2005,1,7000162,1,18/09/2006,0x0000000007D3F052,#N/A
130,NULL,NULL,2859,120,3,1,27/11/2005,1,7000163,1,15/05/2006,0x0000000007D3F053,#N/A
131,NULL,UK/V/0136/001       ,2842,115,3,1,27/11/2005,1,7000164,1,12/12/2005,0x0000000007D3F054,#N/A
132,NULL,UK/V/0139/01/0/0    ,2842,115,3,1,27/11/2005,1,7000165,1,31/03/2006,0x0000000007D3F055,#N/A
133,NULL,UK/V/0138/01/000/00 ,2842,115,3,1,27/11/2005,1,7000166,1,31/03/2006,0x0000000007D3F056,#N/A
134,NULL,UK/0143/01/000/00   ,2842,115,3,1,27/11/2005,1,7000167,1,15/05/2006,0x0000000007D3F057,#N/A
135,NULL,NULL,2859,120,3,1,27/11/2005,1,7000168,1,31/10/2006,0x0000000007D3F058,#N/A
136,NULL,NULL,2859,120,3,1,27/11/2005,1,7000169,1,16/12/2005,0x0000000007D3F059,#N/A
137,NULL,NULL,2859,120,3,1,27/11/2005,1,7000170,1,18/10/2006,0x0000000007D3F05A,#N/A
138,NULL,NULL,2859,120,3,1,27/11/2005,1,7000171,1,10/08/2007,0x0000000007D3F05B,#N/A
139,NULL,NULL,2859,120,3,1,27/11/2005,1,7000172,1,27/02/2006,0x0000000007D3F05C,#N/A
140,NULL,NULL,2859,120,3,1,27/11/2005,1,7000173,1,26/03/2007,0x0000000007D3F05D,#N/A
141,NULL,NULL,2859,120,3,1,27/11/2005,1,7000174,1,29/05/2006,0x0000000007D3F05E,#N/A
142,NULL,UK/V/0126/001/0/0   ,2842,115,3,1,27/11/2005,1,7000175,1,02/02/2006,0x0000000007D3F05F,#N/A
143,NULL,UK/V/0126/003/0/0   ,2842,115,3,1,27/11/2005,1,7000176,1,02/02/2006,0x0000000007D3F060,#N/A
144,NULL,NULL,2859,120,3,1,27/11/2005,1,7000177,1,16/12/2005,0x0000000007D3F061,#N/A
145,NULL,NULL,2859,120,3,1,27/11/2005,1,7000178,1,02/02/2006,0x0000000007D3F062,#N/A
146,NULL,NULL,2859,120,4,1,27/11/2005,1,7000179,-999,01/01/2001,0x0000000007D3F063,#N/A
147,NULL,NULL,2859,120,3,1,27/11/2005,1,7000180,1,13/11/2006,0x0000000007D3F064,#N/A
148,NULL,NULL,2859,120,3,1,27/11/2005,1,7000181,1,21/02/2006,0x0000000007D3F065,#N/A
149,NULL,NULL,2859,120,3,1,27/11/2005,1,7000182,1,21/03/2006,0x0000000007D3F066,#N/A
150,NULL,NULL,2859,120,3,1,27/11/2005,1,7000183,1,02/11/2006,0x0000000007D3F067,#N/A
151,NULL,NULL,2859,120,3,1,27/11/2005,1,7000184,1,19/03/2008,0x0000000007D3F068,#N/A
152,NULL,NULL,2859,120,3,1,27/11/2005,1,7000185,1,28/07/2006,0x0000000007D3F069,#N/A
153,NULL,NULL,2859,120,3,1,27/11/2005,1,7000186,1,24/01/2007,0x0000000007D3F06A,#N/A
154,NULL,NULL,2859,120,3,1,27/11/2005,1,7000187,1,24/01/2007,0x0000000007D3F06B,#N/A
155,NULL,UK/V/0113/001       ,2842,115,3,1,27/11/2005,1,7000188,1,26/05/2006,0x0000000007D3F06C,#N/A
156,NULL,NULL,2859,120,3,1,27/11/2005,1,7000189,1,24/01/2007,0x0000000007D3F06D,#N/A
157,NULL,NULL,2859,120,4,1,27/11/2005,1,7000190,-999,01/01/2001,0x0000000007D3F06E,#N/A
158,NULL,NULL,2859,120,3,1,27/11/2005,1,7000191,1,09/12/2005,0x0000000007D3F06F,#N/A
159,NULL,NULL,2859,120,3,1,27/11/2005,1,7000192,1,13/11/2006,0x0000000007D3F070,#N/A
160,NULL,NULL,2859,120,3,1,27/11/2005,1,7000193,1,30/04/2007,0x0000000007D3F071,#N/A
161,NULL,UK/V/0133/01/000/00 ,2842,115,3,1,27/11/2005,1,7000194,1,28/04/2006,0x0000000007D3F072,#N/A
162,NULL,NULL,2859,120,3,1,27/11/2005,1,7000195,1,29/05/2006,0x0000000007D3F073,#N/A
163,NULL,FR/V/0115/01/0/0    ,2842,115,3,1,27/11/2005,1,7000196,1,29/05/2006,0x0000000007D3F074,#N/A
164,NULL,NULL,2859,120,3,1,27/11/2005,1,7000197,1,27/03/2006,0x0000000007D3F075,#N/A
165,NULL,NULL,2859,120,3,1,27/11/2005,1,7000198,1,16/11/2006,0x0000000007D3F076,#N/A
166,NULL,NULL,2859,120,3,1,27/11/2005,1,7000199,1,02/02/2006,0x0000000007D3F077,#N/A
167,NULL,NULL,2859,120,3,1,27/11/2005,1,7000200,1,09/12/2005,0x0000000007D3F078,#N/A
168,NULL,NULL,2859,120,3,1,27/11/2005,1,7000201,1,28/07/2006,0x0000000007D3F079,#N/A
169,NULL,NULL,2859,120,3,1,27/11/2005,1,7000202,1,31/03/2006,0x0000000007D3F07A,#N/A
170,NULL,FR/V/026/00         ,2842,115,3,1,27/11/2005,1,7000203,1,14/12/2005,0x0000000007D3F07B,#N/A
171,NULL,UK/V/0144/001/000   ,2842,115,3,1,27/11/2005,1,7000204,1,06/11/2006,0x0000000007D3F07C,#N/A
172,NULL,NULL,2859,120,4,1,27/11/2005,1,7000205,-999,01/01/2001,0x0000000007D3F07D,#N/A
173,NULL,NULL,2859,120,3,1,27/11/2005,1,7000206,1,21/08/2006,0x0000000007D3F07E,#N/A
174,NULL,NULL,2859,120,3,1,27/11/2005,1,7000207,1,30/11/2005,0x0000000007D3F07F,#N/A
175,NULL,NULL,2859,120,3,1,27/11/2005,1,7000208,1,25/07/2006,0x0000000007D3F080,#N/A
176,NULL,NULL,2859,120,3,1,27/11/2005,1,7000209,1,13/11/2006,0x0000000007D3F081,#N/A
177,NULL,NULL,2859,120,3,1,27/11/2005,1,7000210,1,04/09/2006,0x0000000007D3F082,#N/A
178,NULL,IR/V/0106/001/R/001 ,2860,35,3,1,27/11/2005,1,7000211,1,01/02/2006,0x0000000007D3F083,#N/A
179,NULL,IE/V/0154/001       ,2860,35,4,1,27/11/2005,1,7000212,-999,01/01/2001,0x0000000007D3F084,#N/A
180,NULL,NULL,2859,120,3,1,27/11/2005,1,7000213,1,24/01/2007,0x0000000007D3F085,#N/A
181,NULL,NULL,2859,120,3,1,27/11/2005,1,7000214,1,24/01/2007,0x0000000007D3F086,#N/A
182,NULL,NULL,2859,120,3,1,27/11/2005,1,7000215,1,16/12/2005,0x0000000007D3F087,#N/A
183,NULL,NULL,2859,120,3,1,27/11/2005,1,7000216,1,16/12/2005,0x0000000007D3F088,#N/A
184,NULL,NULL,2859,120,3,1,27/11/2005,1,7000217,1,13/03/2006,0x0000000007D3F089,#N/A
185,NULL,NULL,2859,120,3,1,27/11/2005,1,7000218,1,16/12/2005,0x0000000007D3F08A,#N/A
186,NULL,NULL,2859,120,3,1,27/11/2005,1,7000219,1,16/12/2005,0x0000000007D3F08B,#N/A
187,NULL,NULL,2859,120,3,1,27/11/2005,1,7000220,1,27/03/2006,0x0000000007D3F08C,#N/A
188,NULL,NULL,2859,120,3,1,27/11/2005,1,7000221,1,16/12/2005,0x0000000007D3F08D,#N/A
189,NULL,NULL,2859,120,3,1,27/11/2005,1,7000222,1,21/03/2006,0x0000000007D3F08E,#N/A
190,NULL,NULL,2859,120,3,1,27/11/2005,1,7000223,1,21/02/2006,0x0000000007D3F08F,#N/A
191,NULL,NULL,2859,120,3,1,27/11/2005,1,7000225,1,25/07/2006,0x0000000007D3F090,#N/A
192,NULL,NULL,2859,120,3,1,27/11/2005,1,7000226,1,14/03/2006,0x0000000007D3F091,#N/A
193,NULL,NULL,2859,120,3,1,27/11/2005,1,7000227,1,24/01/2007,0x0000000007D3F092,#N/A
194,NULL,NULL,2859,120,3,1,27/11/2005,1,7000228,1,30/11/2005,0x0000000007D3F093,#N/A
195,NULL,NULL,2859,120,3,1,27/11/2005,1,7000229,1,26/01/2007,0x0000000007D3F094,#N/A
196,NULL,NULL,2859,120,3,1,27/11/2005,1,7000230,1,09/12/2005,0x0000000007D3F095,#N/A
197,NULL,NULL,2859,120,3,1,27/11/2005,1,7000231,1,25/09/2006,0x0000000007D3F096,#N/A
198,NULL,NULL,2859,120,3,1,27/11/2005,1,7000232,1,30/11/2005,0x0000000007D3F097,#N/A
199,NULL,IR/V/0107/001/R/001 ,2860,35,3,1,27/11/2005,1,7000233,1,07/06/2006,0x0000000007D3F098,#N/A
200,NULL,NULL,2859,120,3,1,27/11/2005,1,7000234,1,30/11/2005,0x0000000007D3F099,#N/A
201,NULL,NULL,2859,120,3,1,27/11/2005,1,7000235,1,30/04/2007,0x0000000007D3F09A,#N/A
202,NULL,NULL,2859,120,3,1,27/11/2005,1,7000236,1,15/05/2006,0x0000000007D3F09B,#N/A
203,NULL,NULL,2859,120,3,1,27/11/2005,1,7000237,1,02/02/2006,0x0000000007D3F09C,#N/A
204,NULL,NULL,2859,120,3,1,27/11/2005,1,7000238,1,16/01/2007,0x0000000007D3F09D,#N/A
205,NULL,NULL,2859,120,3,1,27/11/2005,1,7000239,1,04/09/2006,0x0000000007D3F09E,#N/A
206,NULL,NULL,2859,120,3,1,27/11/2005,1,7000240,1,11/09/2006,0x0000000007D3F09F,#N/A
207,NULL,NULL,2859,120,3,1,27/11/2005,1,7000241,1,03/03/2006,0x0000000007D3F0A0,#N/A
208,NULL,NULL,2859,120,3,1,27/11/2005,1,7000242,1,17/07/2006,0x0000000007D3F0A1,#N/A
209,NULL,NULL,2859,120,3,1,27/11/2005,1,7000243,1,21/08/2006,0x0000000007D3F0A2,#N/A
210,NULL,NULL,2859,120,3,1,27/11/2005,1,7000244,1,16/12/2005,0x0000000007D3F0A3,#N/A
211,NULL,NULL,2859,120,3,1,27/11/2005,1,7000245,1,25/01/2006,0x0000000007D3F0A4,#N/A
212,NULL,NULL,2859,120,3,1,27/11/2005,1,7000246,1,25/01/2006,0x0000000007D3F0A5,#N/A
213,NULL,NULL,2859,120,3,1,27/11/2005,1,7000247,1,31/10/2006,0x0000000007D3F0A6,#N/A
214,NULL,NULL,2859,120,3,1,27/11/2005,1,7000248,1,25/01/2006,0x0000000007D3F0A7,#N/A
215,NULL,NULL,2859,120,3,1,27/11/2005,1,7000249,1,11/09/2006,0x0000000007D3F0A8,#N/A
216,NULL,NULL,2859,120,3,1,27/11/2005,1,7000250,1,22/08/2006,0x0000000007D3F0A9,#N/A
217,NULL,NULL,2859,120,3,1,27/11/2005,1,7000251,1,15/05/2006,0x0000000007D3F0AA,#N/A
218,NULL,NULL,2859,120,3,1,27/11/2005,1,7000252,1,20/06/2006,0x0000000007D3F0AB,#N/A
219,NULL,NULL,2859,120,3,1,27/11/2005,1,7000253,1,25/07/2006,0x0000000007D3F0AC,#N/A
220,NULL,NULL,2859,120,3,1,27/11/2005,1,7000254,1,16/01/2007,0x0000000007D3F0AD,#N/A
221,NULL,NULL,2859,120,3,1,27/11/2005,1,7000255,1,31/10/2006,0x0000000007D3F0AE,#N/A
222,NULL,NULL,2859,120,3,1,27/11/2005,1,7000256,1,30/06/2006,0x0000000007D3F0AF,#N/A
223,NULL,FR/V/0124/01/00     ,2842,115,3,1,27/11/2005,1,7000257,1,15/05/2006,0x0000000007D3F0B0,#N/A
224,NULL,NULL,2859,120,3,1,27/11/2005,1,7000258,1,09/12/2005,0x0000000007D3F0B1,#N/A
225,NULL,NULL,2859,120,3,1,27/11/2005,1,7000259,1,15/05/2006,0x0000000007D3F0B2,#N/A
226,NULL,NULL,2859,120,3,1,27/11/2005,1,7000260,1,30/04/2007,0x0000000007D3F0B3,#N/A
227,NULL,NULL,2859,120,3,1,27/11/2005,1,7000261,1,31/10/2006,0x0000000007D3F0B4,#N/A
